LA Code,Year,Region,Coal - Industrial,Coal - Commercial,Coal - Domestic,Coal - Public Sector,Manufactured fuels - Industrial,Manufactured fuels - Domestic,Petroleum products - Industrial,Petroleum products - Commercial,Petroleum products - Domestic,Petroleum products - Public Sector,Petroleum products - Agriculture,Gas - Industrial,Gas - Commercial,Gas - Domestic,Bioenergy & Wastes - Industrial,Bioenergy & Wastes - Commercial,Bioenergy & wastes - Domestic,Total
S12000033,2005,Aberdeen City,11.89561617868614,0.30102621832097975,1.6437102288007783,11.139622210793272,7.098576976822361,5.473004624843593,369.3959453371834,2.380167663374459,26.173899641037032,26.774039920788656,11.61555574953556,661.8729764347896,696.7539039357362,1682.73307,2.5261187550174733,0.6349288949621161,10.316943668127063,3528.7291064388187
S12000034,2005,Aberdeenshire,17.672079366673408,0.5133766389163524,15.932810297012383,9.142345102781544,8.62344398745214,21.99840698599818,430.5386068818122,16.733611014215388,756.6030517578125,14.616981034367102,360.3246125602724,313.30004460178753,329.8110618677643,1140.0656400000003,1.6212404425530096,0.40749169080570574,31.756194496154823,3469.660998726379
S92000003,2005,All local authorities,1220.724568007693,6.672061666997772,135.82485006332362,112.97871350858128,812.4897143429727,217.4247541427608,27204.759369230418,169.14866645015488,4193.488101806647,353.2370393021654,2900.121047515867,11586.025560071948,12196.612986925142,35329.41629,950.0613254226853,238.7937567458884,336.4133132171633,97964.19211842041
S12000041,2005,Angus,4.411381560782935,0.11425085733432934,4.326557665169235,1.6308088024926515,0.052002868465565656,6.962911348938943,135.1783986324565,3.8349013216086654,162.4383285140988,1.8154677202601115,84.69116361618046,159.36190498063888,167.76033073898387,698.7420300000001,0.9425816735818305,0.23691377898610078,10.797576674222942,1443.297510754202
S12000035,2005,Argyll and Bute,10.307266518519206,0.5987662773343476,6.262775923609735,7.0923860244846555,0.5832278794432301,8.322725543379788,187.24755792315204,7.5372076895117965,172.51103076934862,72.55107377814922,118.6361684417727,76.06423213663413,80.07284264202845,408.38745000000006,2.714635075884707,0.6823116472784174,11.76982855200764,1171.3414868225386
S12000036,2005,City of Edinburgh,8.275049188206689,0.08432019493519731,3.7867172348499243,0.7020936036089441,0.17745419910051802,5.075530559122559,232.03478333989528,5.474934589365062,22.692350730896017,16.877574502915422,10.763342199325562,1060.7590914861867,1116.6614508261964,3435.58341,2.2998992807698513,0.5780696200299049,7.211634312868114,5929.0377058682725
S12000005,2005,Clackmannanshire,0,0.012987841769934304,1.2487873198091963,0.2551868795669263,2.1223825358505715,2.3050232216715774,50.92863751924984,0.5572560185963797,11.85592008352282,0.1846421710326695,9.998792362809178,216.81383659168952,228.23999838498932,397.12961,0,0,3.7655485782027247,925.4186095087607
S12000006,2005,Dumfries and Galloway,17.8635870727494,0.4221795171315541,10.206060459613802,10.443471831090555,24.399768643752317,13.958551537990578,199.3237943733742,9.068969962999576,347.4805662727361,14.33396665788596,501.60182369232183,266.2905710301047,280.32417329668976,765.5098600000001,67.89222874811401,17.064414604394585,20.04984522581106,2566.23383292676
S12000042,2005,Dundee City,0.18778085728042948,5.919245003265945e-4,0.19783582691103188,0.005869846234767367,0,0.9822580756247039,199.61619370768284,0.8084465224253098,6.188134703040125,1.0940319204638507,1.0530543645471335,373.66113454823886,393.3532014676422,926.30624,0.5189780370190499,0.13044285859468008,1.9528048497438475,1906.056999509949
S12000008,2005,East Ayrshire,26.046057319170227,0.08546716550177536,5.068215544819832,2.3946562522908357,0.3993820376032976,7.827981023788458,107.65001863597358,2.6881744340307296,49.74938419818874,5.844721329243247,96.89471342086797,219.27583677427097,230.83174680164814,990.14331,132.08837461253856,33.199834949763094,11.926483889818144,1922.1143583895177
S12000045,2005,East Dunbartonshire,0,0.005177344612164445,1.4413997395336577,0.029199604096834968,0.07445687887064087,2.5720763532817332,53.728854248180745,0.828443833098393,10.451986353397373,1.2803735370889584,9.061705930232996,90.22599387062812,94.98093396178366,997.2143500000001,0,0,4.151897444725039,1266.0468490995304
S12000010,2005,East Lothian,239.97436612998942,0.1570626485974083,3.693034101426602,1.3238010834580984,196.61357143736612,5.940526407957074,58.374997389271755,3.8156696756627215,67.37189382553103,1.463891797185507,38.361832990646406,98.72199877419435,103.92468116884334,662.10753,267.3701950432034,67.20232853162612,9.210305567383772,1825.6276865723432
S12000011,2005,East Renfrewshire,0,8.041551127263339e-4,0.975446585938335,0,0,2.7062265409529234,16.461952924034808,0.22504493969321154,11.512006618380548,0.9043134908920891,15.319663406610541,67.79443665155294,71.3672261655592,818.6822200000001,0,0,4.931980552077288,1010.8813220308048
S12000014,2005,Falkirk,0,0.0422007738763851,2.45201601654291,0.4486499347334646,522.9703447539629,3.8517631530761665,17761.56989883001,4.733544435001912,29.647878785133393,10.123459544472876,23.345735225677487,423.95853571418115,446.301292518229,1137.4372600000002,0,0,5.911967871189121,20372.79454755609
S12000047,2005,Fife,521.4794821892013,0.16153206940182596,8.798608036041264,8.217037902605322,13.479235246008134,15.872467061281231,4361.2551161847805,13.887529076414673,126.08535060882593,9.621712332297996,89.69680312156673,1435.5775765476046,1511.2329955666269,2971.94183,0.3770326763572995,0.09476551333489998,25.72202065467831,11113.501094787027
S12000049,2005,Glasgow City,0,0,1.2934349021315534,0,1.1970378765811325,2.9206715315580345,363.5588516544097,6.045620778830965,14.51155899405485,7.829153506451639,3.9677192139625586,1380.1404869663163,1452.8743528000668,3781.71547,0,0,5.072139414846896,7021.12649763921
