SETTLEMENT_DATE,SETTLEMENT_PERIOD,ND,TSD,ENGLAND_WALES_DEMAND,EMBEDDED_WIND_GENERATION,EMBEDDED_WIND_CAPACITY,EMBEDDED_SOLAR_GENERATION,EMBEDDED_SOLAR_CAPACITY,NON_BM_STOR,PUMP_STORAGE_PUMPING,IFA_FLOW,IFA2_FLOW,BRITNED_FLOW,MOYLE_FLOW,EAST_WEST_FLOW,NEMO_FLOW,NSL_FLOW,ELECLINK_FLOW
01-Jan-23,1,21043,24680,18995,2815,6545,0,13080,0,1161,609,903,-896,-451,-529,253,235,998
01-Jan-23,2,21756,25289,19730,2793,6545,0,13080,0,1056,596,904,-897,-451,-529,252,157,998
01-Jan-23,3,21348,25269,19327,2773,6545,0,13080,0,1212,516,983,-910,-451,-529,253,-219,999
01-Jan-23,4,20586,24574,18589,2753,6545,0,13080,0,1237,510,989,-911,-413,-529,254,-298,999
01-Jan-23,5,19781,24135,17806,2712,6545,0,13080,0,1233,600,903,-912,-401,-529,253,-679,998
01-Jan-23,6,19077,23505,17105,2671,6545,0,13080,0,1234,609,895,-911,-401,-530,252,-752,999
01-Jan-23,7,18511,22969,16459,2615,6545,0,13080,0,1224,609,895,-697,-401,-530,253,-1006,994
01-Jan-23,8,17803,22278,15691,2558,6545,0,13080,0,1221,609,894,-680,-401,-529,252,-1044,993
01-Jan-23,9,17363,21875,15221,2511,6545,0,13080,0,1124,566,811,-814,-401,-529,253,-1044,933
01-Jan-23,10,17096,21654,14936,2464,6545,0,13080,0,1163,567,804,-820,-401,-530,251,-1044,928
01-Jan-23,11,17091,22058,14910,2380,6545,0,13080,0,1208,912,891,-900,-401,-530,-284,-1044,963
01-Jan-23,12,17231,22240,15034,2295,6545,0,13080,0,1203,945,900,-908,-401,-529,-324,-1044,966
01-Jan-23,13,17748,22680,15545,2226,6545,0,13080,0,1196,998,979,-880,-405,-530,-277,-1044,996
01-Jan-23,14,18115,23028,15894,2156,6545,0,13080,0,1136,1001,986,-879,-450,-530,-274,-1044,998
01-Jan-23,15,18743,23244,16449,2077,6545,0,13080,0,630,1006,991,-839,-451,-530,-407,-1044,998
01-Jan-23,16,19085,23490,16805,1997,6545,0,13080,0,552,1007,991,-836,-451,-529,-417,-1020,998
01-Jan-23,17,19675,23428,17346,1953,6545,0,13080,0,637,1001,991,-483,-451,-530,-416,-636,998
01-Jan-23,18,20491,23746,18152,1909,6545,104,13080,0,288,1001,991,-416,-451,-530,-415,-555,998
01-Jan-23,19,21442,23464,19046,1888,6545,473,13080,0,287,1006,991,140,-446,-511,47,-178,998
01-Jan-23,20,22152,23637,19671,1867,6545,797,13080,0,40,1006,992,170,-367,-380,93,-98,998
01-Jan-23,21,23089,24401,20476,1851,6545,1066,13080,0,58,1005,992,926,-426,-228,926,276,998
01-Jan-23,22,23828,24992,21122,1835,6545,1258,13080,0,12,1005,991,1002,-336,-216,999,354,998
01-Jan-23,23,24677,26040,21847,1839,6545,1318,13080,0,6,1005,991,1004,-425,-332,999,725,997
