"REPD Ref","Status","Site Name","Technology","Capacity (MW)","Local Authority","LA Code"
489,"Under Construction","Allt na Moine","Small Hydro",2,"Highland","S12000017"
926,"Awaiting Construction","Binn Eco Park","Advanced Conversion Technologies",4.6,"Perth and Kinross","S12000048"
1007,"Under Construction","Coatbridge Material Recovery and Renewable Energy Facility","Advanced Conversion Technologies",25,"North Lanarkshire","S12000050"
1009,"Awaiting Construction","South Clyde Energy Centre","EfW Incineration",20,"Glasgow City","S12000049"
2415,"Awaiting Construction","Sound of Islay","Tidal Barrage and Tidal Stream",10,"Offshore"," "
2416,"Application Submitted","Brims Tidal Array (Cantick Head)","Tidal Barrage and Tidal Stream",200,"Orkney Islands","S12000023"
2527,"Awaiting Construction","Inch Cape","Wind Offshore",1080,"Offshore"," "
2540,"Under Construction","Seagreen Phase 1 (Alpha)","Wind Offshore",1075,"Offshore"," "
2859,"Awaiting Construction","Glen Ullinish Wind Farm","Wind Onshore",42,"Highland","S12000017"
2860,"Under Construction","Strathallan Wind Farm","Wind Onshore",20.7,"Perth and Kinross","S12000048"
2908,"Application Submitted","Daer Wind Farm","Wind Onshore",100,"South Lanarkshire","S12000029"
3328,"Awaiting Construction","Cumberhead West Wind Farm","Wind Onshore",126,"South Lanarkshire","S12000029"
3371,"Awaiting Construction","Aberarder Wind Farm","Wind Onshore",49.9,"Highland","S12000017"
3387,"Under Construction","Beinn an Tuirc Windfarm Phase 3","Wind Onshore",49.9,"Argyll and Bute","S12000035"
3417,"Application Submitted","Shepherd's Rig Wind Farm","Wind Onshore",78.6,"Dumfries and Galloway","S12000006"
3435,"Under Construction","Gordonbush (extension)","Wind Onshore",47,"Highland","S12000017"
3436,"Awaiting Construction","Hill Of Lychrobbie","Wind Onshore",2.4,"Highland","S12000017"
3502,"Awaiting Construction","Enoch Hill","Wind Onshore",52.8,"East Ayrshire","S12000008"
3503,"Under Construction","Benbrack Wind Farm","Wind Onshore",72,"East Ayrshire","S12000008"
3516,"Awaiting Construction","Beaw Field Wind Farm","Wind Onshore",59.5,"Shetland Islands","S12000027"
3586,"Application Submitted","Euchanhead Wind Farm","Wind Onshore",252,"South Lanarkshire","S12000029"
3633,"Under Construction","Hazelside farm","Wind Onshore",1.6,"South Lanarkshire","S12000029"
3789,"Awaiting Construction","Akla","Wind Onshore",2.7,"Orkney Islands","S12000023"
3892,"Awaiting Construction","Work Farm Wind Turbines","Wind Onshore",1.8,"Orkney Islands","S12000023"
3901,"Awaiting Construction","Uisenis/Eishken (Muaitheabhal) (Southern Extension)","Wind Onshore",21.6,"Comhairle nan Eilean Siar","S12000013"
4128,"Under Construction","Sneddon Law Community Wind Farm","Wind Onshore",45,"East Ayrshire","S12000008"
4213,"Under Construction","Greengairs East Wind Farm","Wind Onshore",24,"North Lanarkshire","S12000050"
4307,"Under Construction","West Benhar wind farm","Wind Onshore",27.2,"North Lanarkshire","S12000050"
4315,"Under Construction","Sorbie Farm","Wind Onshore",9,"North Ayrshire","S12000021"
4318,"Application Submitted","Yell Wind Farm","Wind Onshore",126,"Shetland Islands","S12000027"
4351,"Awaiting Construction","Camster II","Wind Onshore",38,"Highland","S12000017"
4359,"Awaiting Construction","Dell Wind Farm","Wind Onshore",50,"Highland","S12000017"
4385,"Under Construction","Kennoxhead Wind Farm","Wind Onshore",62,"South Lanarkshire","S12000029"
4389,"Awaiting Construction","Knockshinnoch Wind Farm","Wind Onshore",4,"East Ayrshire","S12000008"
4418,"Awaiting Construction","Strathy South","Wind Onshore",218.4,"Highland","S12000017"
4448,"Awaiting Construction","Uisenis/Eishken (Muaitheabhal) (East Extension)","Wind Onshore",21.6,"Comhairle nan Eilean Siar","S12000013"
4492,"Awaiting Construction","Glenmuckloch Wind Farm","Wind Onshore",33.6,"Dumfries and Galloway","S12000006"
4523,"Awaiting Construction","Uisenis/Eishken (Muaitheabhal) Wind Farm","Wind Onshore",118.8,"Comhairle nan Eilean Siar","S12000013"
4529,"Under Construction","Torrs Hill","Wind Onshore",4,"Dumfries and Galloway","S12000006"
4584,"Awaiting Construction","Strathy Wood","Wind Onshore",62.4,"Highland","S12000017"
4586,"Under Construction","South Kyle Wind Farm","Wind Onshore",240,"East Ayrshire","S12000008"
4605,"Under Construction","Blary Hill Wind Farm","Wind Onshore",35,"Argyll and Bute","S12000035"
4615,"Awaiting Construction","Windy Standard III Wind Farm (Brockloch Rig Phase 2)","Wind Onshore",67.5,"Dumfries and Galloway","S12000006"
4628,"Under Construction","Kype Muir Wind Farm Extension","Wind Onshore",75,"South Lanarkshire","S12000029"
4631,"Awaiting Construction","Crystal Rig Wind Farm Phase IV","Wind Onshore",48,"Scottish Borders","S12000026"
4632,"Awaiting Construction","Loganhead Wind Farm","Wind Onshore",25.6,"Dumfries and Galloway","S12000006"
4980,"Awaiting Construction","Inner Sound Phase 1B/1C (MeyGen)","Tidal Barrage and Tidal Stream",86,"Orkney Islands","S12000023"
4987,"Awaiting Construction","Land to the north west of Hill of Petty","Wind Onshore",3.6,"Aberdeenshire","S12000034"
4988,"Under Construction","Kirk Hill Wind Farm","Wind Onshore",18.8,"South Ayrshire","S12000028"
5062,"Application Submitted","Land South East Of Auchterhead","Wind Onshore",2.3,"North Lanarkshire","S12000050"
5116,"Awaiting Construction","Larbrax Wind Farm","Wind Onshore",20,"Dumfries and Galloway","S12000006"
5123,"Awaiting Construction","Eascairt Wind Farm","Wind Onshore",26,"Argyll and Bute","S12000035"
5129,"Awaiting Construction","Pencloe Wind Farm","Wind Onshore",85.5,"East Ayrshire","S12000008"
5172,"Awaiting Construction","Strath Tirry Wind Farm","Wind Onshore",22.8,"Highland","S12000017"
5188,"Awaiting Construction","Costa Head Wind Farm","Wind Onshore",16.3,"Orkney Islands","S12000023"
5195,"Awaiting Construction","Golticlay Wind Farm","Wind Onshore",64.6,"Highland","S12000017"
5198,"Awaiting Construction","Hesta Head Wind Farm","Wind Onshore",20.4,"Orkney Islands","S12000023"
5348,"Application Submitted","Forrestfield Wind Farm","Wind Onshore",13.2,"North Lanarkshire","S12000050"
5352,"Under Construction","CalaChem Fine Chemicals (Grangemouth)","EfW Incineration",21.5,"Falkirk","S12000014"
5393,"Under Construction","Douglas West and Dalquhandy Renewable Energy Project","Wind Onshore",49,"South Lanarkshire","S12000029"
5455,"Application Submitted","Cumberhead Wind Farm","Wind Onshore",48,"South Lanarkshire","S12000029"
5569,"Awaiting Construction","Carey Solar Farm","Solar Photovoltaics",10,"Perth and Kinross","S12000048"
5615,"Under Construction","Ness Energy Project","EfW Incineration",11.1,"Aberdeen City","S12000033"
5655,"Awaiting Construction","Field 730M West Of Queen Street","Solar Photovoltaics",5,"Angus","S12000041"
5800,"Awaiting Construction","Land North of Balbeggie Avenue","Solar Photovoltaics",12,"Fife","S12000047"
5845,"Under Construction","Bruxiehall Farm","Solar Photovoltaics",2,"Aberdeenshire","S12000034"
5863,"Awaiting Construction","Forthwind","Wind Offshore",12,"Offshore"," "
5949,"Application Submitted","Ourack","Wind Onshore",105,"Highland","S12000017"
5962,"Under Construction","Glen Noe River","Small Hydro",2,"Argyll and Bute","S12000035"
6005,"Awaiting Construction","Limekiln Wind Farm","Wind Onshore",79.8,"Highland","S12000017"
6057,"Application Submitted","Glendye Estate","Wind Onshore",104,"Aberdeenshire","S12000034"
6082,"Awaiting Construction","Kenly Wind Farm","Wind Onshore",12.3,"Fife","S12000047"
6147,"Awaiting Construction","Pines Burn Wind Farm","Wind Onshore",33,"Scottish Borders","S12000026"
6158,"Under Construction","Moray West Offshore Wind Farm Project","Wind Offshore",882,"Offshore"," "
6171,"Under Construction","Baldovie Industrial Estate (Forties Road)","EfW Incineration",10,"Dundee City","S12000042"
6175,"Awaiting Construction","Over Hill Wind Farm","Wind Onshore",33,"East Ayrshire","S12000008"
6178,"Awaiting Construction","Sandwick North St Community wind turbine","Wind Onshore",5,"Comhairle nan Eilean Siar","S12000013"
6208,"Awaiting Construction","Tormywheel Wind Farm Extension","Wind Onshore",5,"West Lothian","S12000040"
6214,"Under Construction","Howpark Farm","Wind Onshore",20,"Scottish Borders","S12000026"
6259,"Application Submitted","Craigneil Hill","Wind Onshore",38,"Aberdeenshire","S12000034"
6262,"Awaiting Construction","Westfield (former Opencast Coal Mine)","EfW Incineration",23.7,"Fife","S12000047"
6264,"Under Construction","Dounreay Trì Floating Wind Demonstration","Wind Offshore",10,"Offshore"," "
6275,"Awaiting Construction","Rothes Wind Farm III","Wind Onshore",132,"Moray","S12000020"
6323,"Awaiting Construction","Beinn Thulabaigh Wind Turbine","Wind Onshore",5,"Comhairle nan Eilean Siar","S12000013"
6324,"Under Construction","Burnfoot East Wind Farm (further extension)","Wind Onshore",10.8,"Clackmannanshire","S12000005"
6327,"Awaiting Construction","Longhill Burn Wind Farm","Wind Onshore",45.6,"West Lothian","S12000040"
6341,"Awaiting Construction","Milltown Airfield (Speyslaw)","Solar Photovoltaics",50,"Moray","S12000020"
6362,"Application Submitted","Armadale Wind Farm","Wind Onshore",57.6,"Highland","S12000017"
6363,"Awaiting Construction","Priestgill Wind Farm","Wind Onshore",46.2,"South Lanarkshire","S12000029"
6372,"Awaiting Construction","Clash Gour","Wind Onshore",225,"Moray","S12000020"
6383,"Awaiting Construction","Wemyss Estate - Randolph Solar Farm & Battery Energy Storage","Solar Photovoltaics",50,"Fife","S12000047"
6384,"Awaiting Construction","Mossy Hill","Wind Onshore",46.8,"Shetland Islands","S12000027"
6405,"Awaiting Construction","Blarghour Wind Farm","Wind Onshore",57.8,"Argyll and Bute","S12000035"
6407,"Awaiting Construction","Pauls Hill 2","Wind Onshore",28,"Moray","S12000020"
6416,"Awaiting Construction","Speyslaw Solar Farm","Solar Photovoltaics",20,"Moray","S12000020"
6426,"Under Construction","Neart na Gaoithe","Wind Offshore",450,"Offshore"," "
6432,"Awaiting Construction","Troston Loch","Wind Onshore",67.2,"Dumfries and Galloway","S12000006"
6444,"Awaiting Construction","Glenshimmeroch Wind Farm","Wind Onshore",36,"Dumfries and Galloway","S12000006"
6459,"Application Submitted","Faw Side Community Wind Farm","Wind Onshore",315,"Dumfries and Galloway","S12000006"
6464,"Awaiting Construction","Airigh Wind Farm","Wind Onshore",58.8,"Argyll and Bute","S12000035"
6545,"Under Construction","Allt Garaidh Ghualaich Hydro Scheme Powerhouse","Small Hydro",1.1,"Highland","S12000017"
6573,"Application Submitted","Druim Leathann Windfarm","Wind Onshore",48.3,"Comhairle nan Eilean Siar","S12000013"
6577,"Awaiting Construction","Fetteresso Wind Farm (Mid Hill 3)","Wind Onshore",42,"Aberdeenshire","S12000034"
6590,"Under Construction","Twentyshilling Hill Wind Farm","Wind Onshore",37.8,"Dumfries and Galloway","S12000006"
6600,"Awaiting Construction","Stranoch 2","Wind Onshore",84,"Dumfries and Galloway","S12000006"
6607,"Awaiting Construction","North Kyle Energy Project","Wind Onshore",205.8,"East Ayrshire","S12000008"
6629,"Application Submitted","Sanquhar 2 Community Wind Farm","Wind Onshore",308,"Dumfries and Galloway","S12000006"
6634,"Application Submitted","Kirkan Wind Farm","Wind Onshore",81.6,"Highland","S12000017"
6643,"Awaiting Construction","Hammars Hill Wind Farm Extension","Wind Onshore",8.4,"Orkney Islands","S12000023"
6657,"Awaiting Construction","Allt Charnan","Small Hydro",1,"Highland","S12000017"
6665,"Awaiting Construction","Stornoway Wind Farm (second resubmission)","Wind Onshore",196,"Comhairle nan Eilean Siar","S12000013"
6673,"Application Submitted","Sandwick East Community Wind Farm","Wind Onshore",49.9,"Comhairle nan Eilean Siar","S12000013"
6675,"Under Construction","Glen Etive Estate Phase I (Allt na Chaorainn)","Small Hydro",1.4,"Highland","S12000017"
6676,"Awaiting Construction","Glen Etive Estate Phase II (Allt Mheuran)","Small Hydro",0.9,"Highland","S12000017"
6703,"Under Construction","Sandy Knowe Wind Farm","Wind Onshore",81.6,"Dumfries and Galloway","S12000006"
6708,"Awaiting Construction","Broken Cross (Former Surface Mine)","Wind Onshore",40,"South Lanarkshire","S12000029"
6724,"Awaiting Construction","Allt Easach Hydro","Small Hydro",2,"Argyll and Bute","S12000035"
6730,"Awaiting Construction","Blackwater Dam","Small Hydro",0.8,"Highland","S12000017"
6733,"Application Submitted","Cloiche Wind Farm","Wind Onshore",150,"Highland","S12000017"
6734,"Awaiting Construction","Tangy 4 Wind Farm","Wind Onshore",80,"Argyll and Bute","S12000035"
6736,"Under Construction","Bilbo Solar Farm","Solar Photovoltaics",36.6,"Aberdeenshire","S12000034"
6741,"Under Construction","Duror 2 Hydro Scheme","Small Hydro",0.4,"Highland","S12000017"
6751,"Application Submitted","Garvilland Farm","Wind Onshore",18,"Dumfries and Galloway","S12000006"
6753,"Under Construction","Oldhall Industrial Estate","EfW Incineration",17,"North Ayrshire","S12000021"
6779,"Awaiting Construction","Lochaber Hydro Development (Scheme 2)","Small Hydro",1.1,"Highland","S12000017"
6781,"Awaiting Construction","Lochaber Hydro Development (Scheme 3)","Small Hydro",2,"Highland","S12000017"
6793,"Awaiting Construction","Ben Sca","Wind Onshore",29.4,"Highland","S12000017"
6796,"Application Submitted","Greenburn Wind Park","Wind Onshore",67.2,"East Ayrshire","S12000008"
6798,"Awaiting Construction","Arecleoch Wind Farm (extension)","Wind Onshore",73,"South Ayrshire","S12000028"
6807,"Awaiting Construction","Loch Doon Dam Compensation Set","Small Hydro",0.3,"East Ayrshire","S12000008"
6826,"Awaiting Construction","Douglas West Wind Farm (extension)","Wind Onshore",78,"South Lanarkshire","S12000029"
6827,"Awaiting Construction","Lethans Wind Farm","Wind Onshore",105.6,"East Ayrshire","S12000008"
6828,"Under Construction","Viking Wind Farm","Wind Onshore",443,"Shetland Islands","S12000027"
6833,"Application Submitted","Tormsdale -Wind Farm","Wind Onshore",50,"Highland","S12000017"
6838,"Awaiting Construction","Gaineamhach Hydro Scheme Powerhouse","Small Hydro",2,"Highland","S12000017"
7150,"Application Submitted","Knockcronal Wind Farm","Wind Onshore",59.4,"South Ayrshire","S12000028"
7204,"Awaiting Construction","Kennoxhead Wind Farm Extension (Phase 2)","Wind Onshore",38.4,"South Lanarkshire","S12000029"
7206,"Application Submitted","Clauchrie Windfarm","Wind Onshore",100,"South Ayrshire","S12000028"
7222,"Under Construction","Easter Bush","Solar Photovoltaics",3,"Midlothian","S12000019"
7232,"Under Construction","Glaxosmithkline Shewalton Road","Solar Photovoltaics",19.9,"North Ayrshire","S12000021"
7261,"Application Submitted","Hare Craig Windfarm","Wind Onshore",36,"East Ayrshire","S12000008"
7264,"Awaiting Construction","Meikleton of Ardonald","Wind Onshore",1,"Aberdeenshire","S12000034"
7266,"Awaiting Construction","North Hoo Fields","Wind Onshore",0.9,"Shetland Islands","S12000027"
7274,"Under Construction","Alness Academy","Solar Photovoltaics",0.5,"Highland","S12000017"
7305,"Awaiting Construction","Garvie Burn","Small Hydro",0.4,"Argyll and Bute","S12000035"
7313,"Under Construction","Craig Farm","Small Hydro",0.4,"Argyll and Bute","S12000035"
7318,"Under Construction","Allt Eilidh","Small Hydro",0.6,"Highland","S12000017"
7328,"Under Construction","Allt an t-Sidhein Hydro Scheme","Small Hydro",0.5,"Highland","S12000017"
7340,"Awaiting Construction","Kilgallioch Windfarm (Extension)","Wind Onshore",62,"Dumfries and Galloway","S12000006"
7345,"Awaiting Construction","High Constellation Wind Farm","Wind Onshore",48,"Argyll and Bute","S12000035"
7370,"Awaiting Construction","Southrigg 2","Wind Onshore",4.2,"North Lanarkshire","S12000050"
7376,"Under Construction","Shewalton Road","Wind Onshore",3,"North Ayrshire","S12000021"
7394,"Awaiting Construction","Orkney’s Community Wind Farm Project - Qanterness","Wind Onshore",28.8,"Orkney Islands","S12000023"
